ID,Full name,Given names,Nickname,Title,Suffix,Color label,Surname now,Surname at birth,Gender,Deceased,Mother ID,Mother name,Father ID,Father name,Parents type,Second mother ID,Second mother name,Second father ID,Second father name,Second parents type,Third mother ID,Third mother name,Third father ID,Third father name,Third parents type,Birth date type,Birth year,Birth month,Birth day,Birth range end,Death date type,Death year,Death month,Death day,Death range end,Partner ID,Partner name,Partner title,Partnership type,Partnership date type,Partnership year,Partnership month,Partnership day,Partnership range end,Ex-partner IDs,Extra partner IDs,Email,Website,Blog,Photo site,Home tel,Work tel,Mobile,Skype,Address,Other contact,Birth place,Death place,Cause of death,Burial place,Burial date type,Burial year,Burial month,Burial day,Burial range end,Profession,Company,Interests,Activities,Bio notes,
YO9NZ,Bint-Khayyeh بنت,Bint-Khayyeh,,,,,بنت,,Female,,HFYF5,Mart-Khayyeh,EPTAW,Khayyeh خيّي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD8CH,Bint-Khalteh بنت خالتي,Bint-Khalteh,,,,,بنت خالتي,,Female,,R69PZ,Khalteh خالتي,OTMR8,Joz-Khalteh جوز خالتي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXAY8,Bint-Khaleh بنت خالي,Bint-Khaleh,,,,,بنت خالي,,Female,,SZKMD,Mart-Khaleh مرت خالي,Q2R2G,Khaleh خالي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X06TU,Bint-3amteh بنت عمتي,Bint-3amteh,,,,,بنت عمتي,,Female,,UTEGJ,3amteh عمتي,ZWNPD,Joz-3amteh جوز عمتي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR4CF,Bint-3ammeh بنت عمي,Bint-3ammeh,,,,,بنت عمي,,Female,,G6AQX,Mart-3ammeh مرت عمي,KOHKZ,3ammeh عمي,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IW8LA,Bayyeh بيّي,Bayyeh,,,,,بيّي,,Male,,DD56C,Sitteh ستي,NECA6,Jeddeh جدي,,,,,,,,,,,,,,,,,,,,,,VQYK9,Emmeh امي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7KUB,Jeddeh جدي,Jeddeh,,,,,جدي,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,LXPV4,Sitteh ستي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NECA6,Jeddeh جدي,Jeddeh,,,,,جدي,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,DD56C,Sitteh ستي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UW810,Joz-Ekhteh جوز اختي,Joz-Ekhteh,,,,,جوز اختي,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,MDG4X,Ekhteh,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTMR8,Joz-Khalteh جوز خالتي,Joz-Khalteh,,,,,جوز خالتي,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,R69PZ,Khalteh خالتي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWNPD,Joz-3amteh جوز عمتي,Joz-3amteh,,,,,جوز عمتي,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,UTEGJ,3amteh عمتي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R69PZ,Khalteh خالتي,Khalteh,,,,,خالتي,,Female,,LXPV4,Sitteh ستي,N7KUB,Jeddeh جدي,,,,,,,,,,,,,,,,,,,,,,OTMR8,Joz-Khalteh جوز خالتي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2R2G,Khaleh خالي,Khaleh,,,,,خالي,,Male,,LXPV4,Sitteh ستي,N7KUB,Jeddeh جدي,,,,,,,,,,,,,,,,,,,,,,SZKMD,Mart-Khaleh مرت خالي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPTAW,Khayyeh خيّي,Khayyeh,,,,,خيّي,,Male,,VQYK9,Emmeh امي,IW8LA,Bayyeh بيّي,,,,,,,,,,,,,,,,,,,,,,HFYF5,Mart-Khayyeh,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LXPV4,Sitteh ستي,Sitteh,,,,,ستي,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,N7KUB,Jeddeh جدي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD56C,Sitteh ستي,Sitteh,,,,,ستي,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,NECA6,Jeddeh جدي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTEGJ,3amteh عمتي,3amteh,,,,,عمتي,,Female,,DD56C,Sitteh ستي,NECA6,Jeddeh جدي,,,,,,,,,,,,,,,,,,,,,,ZWNPD,Joz-3amteh جوز عمتي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOHKZ,3ammeh عمي,3ammeh,,,,,عمي,,Male,,DD56C,Sitteh ستي,NECA6,Jeddeh جدي,,,,,,,,,,,,,,,,,,,,,,G6AQX,Mart-3ammeh مرت عمي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZKMD,Mart-Khaleh مرت خالي,Mart-Khaleh,,,,,مرت خالي,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2R2G,Khaleh خالي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G6AQX,Mart-3ammeh مرت عمي,Mart-3ammeh,,,,,مرت عمي,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,KOHKZ,3ammeh عمي,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
