"TITLE","AUTHOR","ASIN/ISBN","TYPE"
"mystics  monarchs, and messiahs","kathryn babayan","0932885284","Search Results"
"jesus of arabia","andrew thompson","1538109441","Search Results"
"the african and middle eastern world  600 1500 ","randall l. pouwels","0195176731","Search Results"
"the earthquake ","tahir wattar","0863563392","Search Results"
"islamic art of illumination","sema onat","1935295829","Search Results"
"the decline of eastern christianity under islam","bat yeor","1611471362","Search Results"
"islamic geometric patterns","eric broug","050028721X","Search Results"
"women in middle eastern history","nikki r. keddie","0300056974","Search Results"
"carry me with you","salwa sadek","B08ZW2GJJ7","Search Results"
"olives  lemons   za'atar","rawia bishara","B07DTCP95H","Search Results"
"the food of spain","claudia roden","0061969621","Search Results"
"the healthy italian cookbook","alice waterson","1076282296","Search Results"
"arabesque","claudia roden","030726498X","Search Results"
"islamic art and visual culture","wiley blackwell","1405154020","Search Results"
"cypriot cookbook","christina loucas","1770503374","Search Results"
"future imperfect","anthony downey","3956792467","Search Results"
"constitutions in a nonconstitutional world","nathan j. brown","0791451585","Search Results"
"appetizing afghanistan recipes","allie allen","B08ZJ22PPX","Appetizer Cooking"
"appetizing afghanistan recipes","allie allen","B08ZFYJVFQ","Appetizer Cooking"
"new middle eastern street food","sally butcher","1566569583","Appetizer Cooking"
"appetizing albanian recipes","julia chiles","1095159143","Appetizer Cooking"
"mezze","ghillie basan","1849759359","Appetizer Cooking"
"123 middle eastern appetizer recipes","mary cruz","B08KK2KD1V","Appetizer Cooking"
"my recipes book","lerocorer publication","B08YQMC2G7","Appetizer Cooking"
"venice","russell norman","0241299918","Appetizer Cooking"
"my recipes book","lerocorer publication","B08Y49YDYB","Appetizer Cooking"
"sweets and desserts from the middle east","arto der haroutunian","1909166073","Dessert Baking"
"sweet middle east","anissa helou","1452114390","Dessert Baking"
"suqar","greg malouf","1743794134","Dessert Baking"
"artichoke to za’atar","greg malouf","0520254139","Dessert Baking"
"middle eastern desserts","mr jonathon spradlin","B08TDPJ986","Dessert Baking"
"sweet","yotam ottolenghi","1607749149","Dessert Baking"
"lebanese home cooking","kamal mouzawak","1631590375","Dessert Baking"
"the book of yogurt","sonia uvezian","0880016515","Dessert Baking"
"turkish recipes","ahmet demir","1080939458","Turkish Cooking, Food & Wine"
"vegan meets turkish kitchen","seda dayioglu","1777009901","Turkish Cooking, Food & Wine"
"the complete turkish cookbook","ronald m dean","1802326227","Turkish Cooking, Food & Wine"
"the complete turkish cookbook","ronald m dean","1802326235","Turkish Cooking, Food & Wine"
"365 homemade middle eastern recipes","vicky johnson","B08FP459SX","Turkish Cooking, Food & Wine"
"hello  365 middle eastern recipes","mr. walls","B085RQNFPY","Turkish Cooking, Food & Wine"
"the complete middle east cookbook","tess mallos","0804838763","Turkish Cooking, Food & Wine"
