"TITLE","AUTHOR","ASIN/ISBN","TYPE"
"the middle east","bernard lewis","0684832801","Search Results"
"queer in translation","evren savci","1478010312","Search Results"
"the arabs","eugene rogan","B01DWMVYWU","Search Results"
"call to arms","ali rahnema","1786079852","Search Results"
"perspectives on the history of ancient near eastern studies","agnès garcia ventura","1575068362","Search Results"
"all the shah's men","stephen kinzer","047018549X","Search Results"
"a concise history of the middle east  ninth edition","arthur goldschmidt jr.","B003P64OHG","Search Results"
"migs in the middle east","davis nicolle","1913336360","Search Results"
"water and conflict in the middle east","marcus dubois king","0197552633","Search Results"
"a concise history of the middle east","arthur goldschmidt jr.","0813350913","Search Results"
"the modern middle east","james l. gelvin","019021886X","Search Results"
"desert storm volume 2","e.r. hooton","1913336352","Search Results"
"the lemon tree","sandy tolan","B002UM5B8C","Search Results"
"the new middle east","james l. gelvin","0190653981","Search Results"
"contemporary urban landscapes of the middle east ","mohammad gharipour","1138490296","Search Results"
"a history of the modern middle east  5th edition","william l cleveland","0813348331","Search Results"
"cyber war   cyber peace in the middle east","michael sexton","B08KPXM6H3","Search Results"
"israel in the middle east","itamar rabinovich","0874519624","Search Results"
"what the west is getting wrong about the middle east","ömer taspinar","1788310101","Search Results"
"american orientalism","douglas little","0807858986","Search Results"
"landed internationals","burak erdim","1477321217","Search Results"
"politics and society in the contemporary middle east","michelle penner angrist","1626378053","Search Results"
"the spymaster of baghdad","margaret coker","B0831Q5KTC","U.S. State & Local History"
"the big east","dana o'neil","0593237935","U.S. State & Local History"
"america and iran","john ghazvinian","0307271811","U.S. State & Local History"
"harley loco","rayya elias","0143125052","U.S. State & Local History"
"the third terrorist","jayna davis","0785261036","U.S. State & Local History"
"predator","richard whittle","B00IWVAA0Y","U.S. State & Local History"
"epic encounters","melani mcalister","0520244990","U.S. State & Local History"
"the lure of authoritarianism","stephen j. king","0253040868","U.S. State & Local History"
"the island at the center of the world","russell shorto","1400078679","U.S. State & Local History"
"cold war in the islamic world","dilip hiro","0197537022","Iran History"
"ancient near east","captivating history","1647489547","Iran History"
"surviving images","kamran rastegar","0199390177","Iran History"
"a choice of enemies","lawrence freedman","1586487019","Iraq History"
"the role of women in work and society in the","brigitte lion","1501517015","Iraq History"
"into the hands of the soldiers","david d. kirkpatrick","0735220638","Saudi Arabia History"
"economic development in the middle east","rodney wilson","0367512785","Saudi Arabia History"
"the middle east and the united states","david w. lesch","1138604666","Saudi Arabia History"
"the oil kings","andrew scott cooper","B005GIH4UU","Saudi Arabia History"
"government and politics of the middle east and north africa","sean yom","1138354325","Saudi Arabia History"
"the fall of the ottomans","eugene rogan","0465097421","Saudi Arabia History"
"the decline of eastern christianity under islam","bat yeor","1611471362","Saudi Arabia History"
"asad","patrick seale","0520069765","Syria History"
"dislocating the orient","daniel foliard","022675572X","Syria History"
"muslims and crusaders","niall christie","113854311X","Syria History"
"the battle for syria ","christopher phillips","0300249918","Syria History"
"the daughters of kobani","gayle tzemach lemmon","0525560688","Syria History"
"a land of aching hearts","leila tarazi fawaz","0674735498","Syria History"
"regional and international powers in the gulf security ","alaa al arafat","3030433188","History of Religion & Politics"
"political islam","khaled hroub","0863566596","History of Religion & Politics"
"a history of muslims  christians, and jews in the middle","heather j. sharkey","0521186870","History of Religion & Politics"
"the disappearing people","stephen m. rasche","1642932035","History of Religion & Politics"
"the jihadi next door","kimberly mehlman orozco ph.d","1510732861","History of Religion & Politics"
"untangling the web","ori z. soltes","0910155844","History of Religion & Politics"
"who are the christians in the middle east ","betty jane bailey","080286595X","History of Religion & Politics"
