"TITLE","AUTHOR","ASIN/ISBN","TYPE"
"the making ot the modern gulf states","rosemarie said zahlan","0863722296","Kuwait History"
"the wages of oil","michael herb","0801453364","Kuwait History"
"a storm in a tea cup","a storm in a tea cup jason hillman","9652240923","Kuwait History"
"arabia felix","bertram thomas","183807564X","Oman History"
"islamic reform and arab nationalism","amal n. ghazal","1138789291","Oman History"
"arabian sands ","wilfred thesiger","0141442077","Oman History"
"the arab revolt 1916–18","david murphy","184603339X","Saudi Arabia History"
"making the desert modern","chad parker","1625341571","Saudi Arabia History"
"behind the kingdom's veil","susanne koelbl","B084JF7R34","Saudi Arabia History"
"arabia and the arabs","robert g. hoyland","0415195357","Saudi Arabia History"
