No,Keyword,Volume,Position,Estimated Visits,CPC,Paid Difficulty,SEO Difficulty,Ranking URL
50,kifak in arabic,140,3,42,$0,1,21,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
51,how do you say thank you in lebanese,140,4,22,$0,1,30,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
52,lebanese alphabet,140,4,22,$0.02,32,57,https://www.lebanesearabicinstitute.com/arabic-alphabet/
53,thank you so much in arabic,140,19,0,$0,1,21,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
54,good morning in lebanese,140,9,9,$0,1,29,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
55,kifak arabic,140,5,13,$0,1,28,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
56,beirut language,140,19,0,$0,1,30,https://www.lebanesearabicinstitute.com/learning-lebanese-arabic-beirut-olivier-baas/
57,happy birthday in lebanese,140,18,1,$0,1,18,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
58,how to say thank you in lebanese,140,9,4,$0,1,31,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
59,christmas in arabic,140,9,6,$0,1,46,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
60,lebanese language phrases,110,38,0,$2.94,3,14,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
61,happy holidays in arabic,140,10,2,$0,1,22,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
62,translation from english to lebanese,110,45,0,$1.20,5,29,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
63,how do you write thank you in arabic,110,36,0,$0,1,30,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
64,arabic lebanese dialect,90,16,1,$3.91,5,25,https://www.lebanesearabicinstitute.com/lebanese-arabic-from-scratch/
65,arabic word of thank you,90,30,0,$0,1,27,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
66,greetings in lebanese,90,2,27,$0,1,28,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
67,kifak meaning,90,8,3,$0,1,26,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
68,how to say hello in syrian,90,41,0,$0,1,30,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
69,how do you say hello in syrian,90,21,0,$0,1,30,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
70,lebanon greetings,90,3,27,$0,1,25,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
71,lebanese greetings,90,2,27,$0,1,14,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
72,thank you in arabic word,90,49,0,$0,1,31,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
73,hello in arabic translation,70,32,0,$12.93,5,26,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
74,do they speak arabic in lebanon,70,26,0,$0,1,48,https://www.lebanesearabicinstitute.com/learning-lebanese-arabic-beirut-olivier-baas/
75,streets of beirut,70,103,0,$0,1,35,https://www.lebanesearabicinstitute.com/areas-beirut/
76,arabic translation hello,70,22,0,$12.93,5,34,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
77,hello in arabic written,70,28,0,$0,1,27,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
78,how to say hello in jordan,70,63,0,$0,1,30,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
79,how to say good morning in lebanese,70,6,6,$0,1,31,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
80,beirut arabic,70,6,11,$0,1,38,https://www.lebanesearabicinstitute.com/areas-beirut/
81,how to say good day in arabic,70,20,0,$0,1,29,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
82,thank you in palestinian,70,14,0,$0,1,26,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
83,thank you in tunisian arabic,70,52,0,$0,1,24,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
84,street in beirut,70,53,0,$0,1,34,https://www.lebanesearabicinstitute.com/areas-beirut/
85,how do you say good morning in lebanese,70,8,6,$0,1,23,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
86,arabic translation for hello,70,75,0,$0,1,32,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
87,how do you say hello in jordan,70,75,0,$0,1,23,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
88,lebanese writing,70,5,6,$0,1,65,https://www.lebanesearabicinstitute.com/arabic-alphabet/
89,thank you in syrian,70,27,0,$0,1,22,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
90,thank you in lebanese arabic,70,2,21,$0,1,23,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
91,hello in arabic writing,70,26,0,$0,1,36,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
92,how to say hello my friend in arabic,70,38,0,$0,1,26,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
93,how to say thank you in arabic egyptian,70,69,0,$0,1,29,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
94,do lebanese people speak arabic,50,21,0,$0,1,42,https://www.lebanesearabicinstitute.com/learning-lebanese-arabic-beirut-olivier-baas/
95,hello in jordan,50,54,0,$0,1,36,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
96,how do you say merry christmas in lebanon,50,5,4,$0,1,30,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
97,how does arabic work,50,25,0,$0,1,81,https://www.lebanesearabicinstitute.com/arabic-alphabet/
98,common arabic symbols,50,8,2,$0.02,24,51,https://www.lebanesearabicinstitute.com/arabic-alphabet/
99,how do you say merry christmas in lebanese,50,5,4,$0,1,31,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
100,cheers in lebanese arabic,50,19,0,$0,1,17,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
101,good morning in arabic lebanese,40,16,0,$0,1,24,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
102,hey how are you in arabic,50,53,0,$0,1,46,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
103,lebanese arabic translation to english,50,70,0,$3.15,7,22,https://www.lebanesearabicinstitute.com/shu/
104,happy birthday in arabic lebanese,50,47,0,$0,1,31,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
105,cheers in arabic lebanese,50,11,1,$0,1,16,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
106,how are you in lebanese,50,5,8,$0,1,19,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
107,how to say merry christmas in lebanese,50,4,8,$0,1,30,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
108,happy birthday in lebanese arabic,50,38,0,$0,1,32,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
109,hello in jordanian,50,83,0,$0,1,31,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
110,cheers in lebanese,50,26,0,$0,1,21,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
111,good night in lebanese,50,25,0,$0,1,27,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
112,good morning in lebanese arabic,40,21,0,$0,1,27,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
113,hello in lebanese arabic,50,4,8,$0,1,30,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
114,kifik,50,10,1,$0,1,24,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
115,goodnight in lebanese,50,27,0,$0,1,23,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
116,how to learn lebanese arabic,50,6,4,$4.79,42,30,https://www.lebanesearabicinstitute.com/courses-lebanese-arabic/
117,how to say merry christmas in lebanon,50,4,8,$0,1,30,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
118,lebanese arabic institute,50,1,15,$81.29,8,31,https://www.lebanesearabicinstitute.com/
119,merry christmas in lebanese,50,4,8,$0,1,31,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
120,i appreciate you in arabic,40,17,0,$0,1,32,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
121,cheers in arabic lebanon,40,10,1,$0,1,15,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
122,goodnight in arabic lebanese,40,41,0,$0,1,22,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
123,how are you in arabic translation,40,61,0,$0,1,40,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
124,kefik,40,35,0,$0.17,12,29,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
125,goodbye in lebanese,40,2,12,$0,1,15,https://www.lebanesearabicinstitute.com/goodbye-lebanese-arabic/
126,how say hello in arabic,40,26,0,$0,1,28,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
127,keefik,30,2,12,$0,1,30,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
128,thank you in arabic english,40,28,0,$0,1,35,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
129,what language do they speak in beirut,40,26,0,$0,1,31,https://www.lebanesearabicinstitute.com/learning-lebanese-arabic-beirut-olivier-baas/
130,how are you arabic translation,40,65,0,$0,1,44,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
131,good night in arabic lebanese,40,32,0,$0,1,23,https://www.lebanesearabicinstitute.com/goodbye-lebanese-arabic/
132,how are you translation in arabic,40,60,0,$0,1,42,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
133,thank you in chaldean,30,10,1,$0,1,16,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
134,3afwan,40,6,3,$0,1,24,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
135,kifik in arabic,30,40,0,$0,1,30,https://www.lebanesearabicinstitute.com/tag/arabic-greetings/feed/
136,arab pronunciation google,40,71,0,$0,1,45,https://www.lebanesearabicinstitute.com/arabic-alphabet/
137,how do you say how are you in lebanese,30,8,1,$0,1,37,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
138,how to say goodbye in lebanese,30,2,9,$0,1,20,https://www.lebanesearabicinstitute.com/goodbye-lebanese-arabic/
139,lebanese arabic classes,30,1,9,$7.56,36,14,https://www.lebanesearabicinstitute.com/
140,lebanese language course,40,1,9,$16.81,47,22,https://www.lebanesearabicinstitute.com/lebanese-arabic-from-scratch/
141,how to say thank you in moroccan arabic,30,66,0,$0,1,20,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
142,lebanese arabic course,30,1,9,$6.21,50,19,https://www.lebanesearabicinstitute.com/
143,what does kifak mean in arabic,30,4,2,$0,1,25,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
144,you re welcome in arabic afwan,30,69,0,$0,1,25,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
145,thank you in palestinian arabic,30,48,0,$0,1,16,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
146,merhaba meaning in arabic,30,27,0,$0,1,26,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
147,how are you in lebanese arabic,30,6,4,$0,1,25,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
148,marhaba kifak,40,60,0,$0,1,14,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
149,thank you and welcome in arabic,30,7,1,$0,1,40,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
150,thank you sir in arabic,30,26,0,$0,1,29,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
151,what's thank you in arabic,30,25,0,$0,1,39,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
152,how do you say happy holidays in arabic,30,12,0,$0,1,22,https://www.lebanesearabicinstitute.com/holiday-greetings/
153,thank you welcome in arabic,30,7,1,$0,1,39,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
154,ways to say thank you in arabic,30,17,0,$0,1,21,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
155,thank you friend in arabic,30,43,0,$0,1,21,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
156,how do you say goodbye in lebanese,30,3,9,$0,1,20,https://www.lebanesearabicinstitute.com/goodbye-lebanese-arabic/
157,lebanese arabic alphabet,30,3,4,$0.05,87,24,https://www.lebanesearabicinstitute.com/arabic-alphabet/
158,lebanese speaking french,30,81,0,$0,1,32,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
159,marhaban in english,30,85,0,$0,1,28,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
160,how to say how are you in lebanese,30,6,4,$0,1,22,https://www.lebanesearabicinstitute.com/how-are-you-lebanese-arabic/
161,kteer arabic,30,15,0,$0,1,22,https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/
162,merry christmas in arabic text,30,4,4,$0,1,24,https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/
163,response to marhaba,30,16,0,$0,1,21,https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/
164,learn lebanese,30,6,1,$3.96,83,31,https://www.lebanesearabicinstitute.com/courses-lebanese-arabic/
165,learning lebanese arabic,30,15,0,$12.38,55,24,https://www.lebanesearabicinstitute.com/learning-lebanese-arabic-beirut-olivier-baas/
166,lebanese meaning slang,30,21,0,$0,1,28,https://www.lebanesearabicinstitute.com/shu/
