No,Source Page Title,Source URL,Target URL,Domain Authority,Page Authority,Spam Score,Anchor Text,First Seen,Last Seen
11,"WEB DIRECTORY","https://gracez.pages.dev/02/NHqNjYFjJy","https://lebanesearabicinstitute.com/",92,40,null,"lebanesearabicinstitute.com","2024-03-21","2026-03-15"
12,"海姆宰 - 维基百科，自由的百科全书","https://zh.wikipedia.org/wiki/%E6%B5%B7%E5%A7%86%E5%AE%B0","https://www.lebanesearabicinstitute.com/hamza/",91,55,15,"writing and pronouncing the hamza ء a guide for the perplexed","2021-02-13","2026-01-28"
13,"split - Charging file (and, font) display direction and start position across horizontal lines - Vi and Vim Stack Exchange","https://vi.stackexchange.com/questions/44684/charging-file-and-font-display-direction-and-start-position-across-horizontal","https://www.lebanesearabicinstitute.com/arabic-alphabet/",91,41,2,"lebanesearabicinstitute.com/arabic-alphabet/#arabic_script","2024-07-05","2025-12-20"
14,"PhD Placement Record: 2000-2009 - Department of Philosophy - University of Toronto","https://philosophy.utoronto.ca/st-george/graduate/placement/phd-placement-record-2000-2009/","https://www.lebanesearabicinstitute.com/about/",90,44,1,"dobell brian mark","2024-08-18","2025-12-31"
15,"","https://www.ask.com/web?q=Regional+Middle+East+Lebanon+Localities","https://www.lebanesearabicinstitute.com/areas-beirut/",88,45,3,"areas of beirut lebanese arabic institute","2018-10-27","2018-10-27"
16,"Arab Alphabet","https://robert-croshawm75.web.app/arab-alphabet.html","https://www.lebanesearabicinstitute.com/wp-content/uploads/2017/02/Alphabet-300x169.jpg",88,38,null,"the arabic alphabet a guide to the phonology and orthography of","2021-10-01","2026-02-02"
17,"Séjours dans un pays arabe","https://www.unige.ch/lettres/meslo/unites/arabe/liens","https://www.lebanesearabicinstitute.com/",82,54,4,"lebanese arabic institute","2025-06-24","2025-12-25"
18,"Listă de imnuri naționale - Wikipedia","https://ro.wikipedia.org/wiki/List%C4%83_de_imnuri_na%C8%9Bionale","https://www.lebanesearabicinstitute.com/lebanese-national-anthem/",80,51,11,"„lebanese national anthem”","2025-01-24","2025-12-23"
19,"Arabic Group Classes (Sep.-Nov. 2016) at Lebanese Arabic Institute, Beirut","https://allevents.in/beirut/arabic-group-classes-sep-nov-2016/1729700500626492","https://www.lebanesearabicinstitute.com/schedule-lebanese-arabic-group-classes/",80,38,1,"http://www.lebanesearabicinstitute.com/schedule-lebanese-arabic-group-classes","2018-02-25","2026-01-12"
20,"A influência da língua árabe no espanhol","https://pt.babbel.com/pt/magazine/a-influencia-da-lingua-arabe-no-espanhol","https://www.lebanesearabicinstitute.com/arabic-definite-article/",80,36,1,"instituto árabe libanês","2025-09-22","2025-12-22"
21,"Language & Culture Resources - Arabic | اللغة العربية - LibGuides at Indiana University Indianapolis","https://iu.libguides.com/c.php?g=260350&p=4287664","https://www.lebanesearabicinstitute.com/arabic-alphabet/",75,37,14,"the arabic alphabet","2024-08-04","2025-12-29"
22,"Sprachaufenthalte | Nahoststudien | Universität Basel","https://nahoststudien.philhist.unibas.ch/de/studium/sprachaufenthalte/","https://www.lebanesearabicinstitute.com/",75,35,1,"lebanese arabic institute beirut libanon","2021-07-25","2025-12-30"
23,"","https://worldwidetopsite.com/website-list-520/","https://lebanesearabicinstitute.com/",72,35,7,"lebanesearabicinstitute","2024-06-01","2025-03-15"
24,"","https://farleu.com/website-list-520/","https://lebanesearabicinstitute.com/",69,39,9,"lebanesearabicinstitute","2021-08-24","2025-04-07"
25,"","https://yercum.com/website-list-520/","https://lebanesearabicinstitute.com/",69,39,9,"lebanesearabicinstitute","2021-07-14","2025-02-19"
26,"","https://rankwebdirectory.com/website-list-520/","https://lebanesearabicinstitute.com/",69,38,11,"lebanesearabicinstitute","2022-11-06","2025-03-24"
27,"","https://busniessdirectory.com/website-list-520/","https://lebanesearabicinstitute.com/",69,34,10,"lebanesearabicinstitute","2022-11-07","2025-02-27"
28,"","https://idyler.com/website-list-520/","https://lebanesearabicinstitute.com/",69,34,9,"lebanesearabicinstitute","2021-08-15","2025-03-29"
29,"","https://worldwidetopsite.link/website-list-520/","https://lebanesearabicinstitute.com/",69,34,4,"lebanesearabicinstitute","2024-05-31","2025-03-07"
30,"","https://seohelperdirectory.com/website-list-520/","https://lebanesearabicinstitute.com/",69,34,11,"lebanesearabicinstitute","2025-01-02","2025-04-05"
31,"","https://xyloyl.com/website-list-520/","https://lebanesearabicinstitute.com/",68,39,9,"lebanesearabicinstitute","2021-08-23","2025-03-27"
32,"","https://rakily.com/website-list-520/","https://lebanesearabicinstitute.com/",68,37,10,"lebanesearabicinstitute","2024-06-15","2025-03-26"
33,"Où apprendre l’arabe à Beyrouth ?","https://lepetitjournal.com/beyrouth/ou-apprendre-larabe-beyrouth-159676","https://www.lebanesearabicinstitute.com/",68,37,1,"www.lebanesearabicinstitute.com","2018-02-18","2026-01-17"
34,"","https://zoacum.com/website-list-520/","https://lebanesearabicinstitute.com/",67,39,10,"lebanesearabicinstitute","2024-06-26","2025-04-12"
35,"","https://socialyta.com/website-list-520/","https://lebanesearabicinstitute.com/",67,33,13,"lebanesearabicinstitute","2024-12-16","2025-03-19"
36,"Lebanese Arabic Institute | Reviews and Programs | Go Overseas","https://www.gooverseas.com/organization/lebanese-arabic-institute-reviews","https://www.lebanesearabicinstitute.com/blog/",67,33,3,"blog","2018-03-27","2026-01-17"
37,"Miként ünneplik a karácsonyt Ázsiában?","https://magyarnemzet.hu/kulfold/2024/12/mikent-unneplik-a-karacsonyt-azsiaban","https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/",67,32,3,"a „karácsony” arabul","2024-12-27","2025-11-19"
38,"كم عدد الحروف الهجائية العربية - موقع محتويات","https://mhtwyat.com/%D9%83%D9%85-%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D8%AD%D8%B1%D9%88%D9%81-%D8%A7%D9%84%D9%87%D8%AC%D8%A7%D8%A6%D9%8A%D8%A9/","https://www.lebanesearabicinstitute.com/arabic-alphabet/",66,39,5,"arabic alphabet","2021-07-27","2026-01-01"
39,"","https://absmho.com/website-list-520/","https://lebanesearabicinstitute.com/",66,34,9,"lebanesearabicinstitute","2024-05-27","2025-03-10"
40,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – 99 Webs","https://99w.im/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",65,32,19,"lebanesearabicinstitute","2025-10-29","2026-02-01"
41,"","https://onlinecoursesschools.com/lebanese-university-beirut","https://www.lebanesearabicinstitute.com/",65,27,4,"lebanesearabicinstitute.com","2022-02-10","2022-02-14"
42,"","https://www.tpsearchtool.com/images/load-arabic","https://www.lebanesearabicinstitute.com/wp-content/uploads/2017/02/Alphabet-1024x577.jpg",65,24,2,"the arabic alphabet a guide to the phonology and orthography of msa","2025-02-09","2025-02-09"
43,"Hamza (lettre) — Wikipédia","https://fr.teknopedia.teknokrat.ac.id/wiki/%D8%A3","https://www.lebanesearabicinstitute.com/hamza/",63,35,1,"writing and pronouncing the hamza ء a guide for the perplexed","2025-11-25","2026-02-26"
44,"Ազգային օրհներգերի ցանկ - Վիքիպեդիա","https://hy.wikipedia.org/wiki/%D4%B1%D5%A6%D5%A3%D5%A1%D5%B5%D5%AB%D5%B6_%D6%85%D6%80%D5%B0%D5%B6%D5%A5%D6%80%D5%A3%D5%A5%D6%80%D5%AB_%D6%81%D5%A1%D5%B6%D5%AF","https://www.lebanesearabicinstitute.com/lebanese-national-anthem/",62,45,17,"«lebanese national anthem lebanese arabic institute»","2020-10-05","2025-12-23"
45,"الكلمه التي بها الف تنطق ولا تكتب - موقع المرجع","https://almrj3.com/the-word-that-has-a-thousand-is-pronounced-and-not-written/","https://www.lebanesearabicinstitute.com/arabic-alphabet/",62,33,6,"the arabic alphabet a guide to the phonology and orthography of msa and lebanese arabic","2021-09-30","2026-01-10"
46,"Domains on ip 198.20.114.3","https://domains.tntcode.com/ip/198.20.114.3","https://lebanesearabicinstitute.com/",61,30,15,"","2025-01-30","2025-12-10"
47,"خريطة مفاهيم الهمزة المتطرفة جاهزة للتحميل والطباعة - موقع مقالاتي","https://mqalaty.net/%D8%AE%D8%B1%D9%8A%D8%B7%D8%A9-%D9%85%D9%81%D8%A7%D9%87%D9%8A%D9%85-%D8%A7%D9%84%D9%87%D9%85%D8%B2%D8%A9-%D8%A7%D9%84%D9%85%D8%AA%D8%B7%D8%B1%D9%81%D8%A9/","https://www.lebanesearabicinstitute.com/hamza/",60,31,3,"writing and pronouncing the hamza","2023-01-28","2026-01-14"
48,"","https://iewiki.auroville.org/images/n140dqh/64986109e417f186631cf62f61","https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/",60,30,4,"how to say hello in lebanese arabic - lebanese arabic ...","2023-12-09","2024-06-26"
49,"變音符號 - 維基百科，自由嘅百科全書","https://zh-yue.wikipedia.org/wiki/%E8%AE%8A%E9%9F%B3%E7%AC%A6%E8%99%9F","https://www.lebanesearabicinstitute.com/arabic-alphabet/",59,46,14,"the arabic alphabet a guide to the phonology and orthography of msa and lebanese arabic","2024-10-30","2025-12-27"
50,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – PRO SEO ARTICLES","https://proseoarticles.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",58,24,7,"lebanesearabicinstitute","2025-10-13","2026-01-15"
51,"","https://websitedetection.com/web-site-list-8427","https://lebanesearabicinstitute.com/",58,24,12,"lebanesearabicinstitute.com","2020-01-02","2023-02-09"
52,"Beirut — Grokipedia","https://grokipedia.com/page/Beirut","https://www.lebanesearabicinstitute.com/administrative-divisions-lebanon/",57,31,7,"administrative divisions of lebanon lebanese arabic institute","2025-12-01","2026-03-08"
53,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – GLOBAL PRO SEO","https://globalproseo.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",57,25,6,"lebanesearabicinstitute","2025-09-28","2025-12-28"
54,"Davlat madhiyalari roʻyxati - Vikipediya","https://uz.wikipedia.org/wiki/Davlat_madhiyalari_ro%CA%BByxati","https://www.lebanesearabicinstitute.com/lebanese-national-anthem/",55,43,9,"„lebanese national anthem lebanese arabic institute“","2024-09-14","2025-12-30"
55,"merry christmas in lebanese","https://elkarama.anhri.net/journal/cache/mje/merry-christmas-in-lebanese","https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/",55,27,12,"merry christmas and happy new year in arabic - lebanese ...","2025-01-16","2026-01-12"
56,"","https://all-aged-domains.com/page-1748a700e6eed440899263832b42bed7.html","https://lebanesearabicinstitute.com/",55,24,4,"lebanesearabicinstitute.com","2025-09-21","2025-09-21"
57,"","https://www.winkero.com/merry-christmas-in-arabic-k.html","https://www.lebanesearabicinstitute.com/wp-content/uploads/2016/12/Merry-Christmas.jpg",55,20,7,"merry christmas and happy new year in arabic lebanese arabic institute","2024-02-29","2024-07-06"
58,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – WEB SEO DIRECTORY","https://webseodirectory.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",54,47,5,"lebanesearabicinstitute","2025-10-15","2026-01-16"
59,"","https://www.sitesimilar.net/lebanesearabicinstitute.com","https://www.lebanesearabicinstitute.com/",54,27,1,"lebanesearabicinstitute","2021-10-18","2022-02-25"
60,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – SEO HUB DIRECTORY","https://seohubdirectory.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",54,20,4,"lebanesearabicinstitute","2025-09-29","2026-01-01"
61,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – ADD YOUR BUSINESS","https://adzbusiness.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",53,29,6,"lebanesearabicinstitute","2025-10-07","2026-01-15"
62,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – PRO LINKS DIRECTORY","https://prolinksdirectory.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",53,29,6,"lebanesearabicinstitute","2025-10-03","2026-01-11"
63,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – CLICK TO HIGH","https://clicktohigh.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",53,29,7,"lebanesearabicinstitute","2025-10-13","2026-01-15"
64,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – POST ON SEO","https://postonseo.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",53,29,6,"lebanesearabicinstitute","2025-10-11","2026-01-17"
65,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – PRO SEO LINKS DIRECTORY","https://proseolinksdirectory.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",53,29,4,"lebanesearabicinstitute","2025-10-13","2026-01-13"
66,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – GLOBAL SEO ARTICLES","https://globalseoarticles.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",53,26,7,"lebanesearabicinstitute","2025-10-17","2026-01-18"
67,"List of national anthems - Bharatpedia","https://en.bharatpedia.org/wiki/List_of_national_anthems","https://www.lebanesearabicinstitute.com/lebanese-national-anthem/",53,25,4,"lebanese national anthem lebanese arabic institute","2025-12-15","2025-12-19"
68,"","https://evna.care/keyword-ranking/1119816/why+are+there+numbers+in+arabic","https://www.lebanesearabicinstitute.com/arabic-alphabet/",53,23,14,"the arabic alphabet a guide to the phonology and","2023-10-31","2024-07-02"
69,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – RANKER DIRECTORY","https://rankerdirectory.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",52,50,5,"lebanesearabicinstitute","2025-10-02","2026-01-12"
70,"5 Customs You'll Only Understand If You're Lebanese","https://the961.com/5-customs-youll-only-understand-if-youre-lebanese/","https://www.lebanesearabicinstitute.com/charbel-rouhana-hi-kifak-ca-va/",52,29,15,"via lebanese arabic institute","2026-03-01","2026-03-01"
71,"","https://www.picstopin.com/arabic-alphabet_LSKzGx6xWN*P5CKM6a3mcGrBpsxBmx5x0Fsis1blLI8/","https://www.lebanesearabicinstitute.com/wp-content/uploads/2017/02/Alphabet.jpg",52,29,17,"","2019-11-20","2020-02-20"
72,"","https://forum.unilang.org/viewtopic.php?t=60097","https://www.lebanesearabicinstitute.com/",52,29,5,"https://www.lebanesearabicinstitute.com/","2022-07-18","2024-02-05"
73,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – WAY SEO LINKS","https://wayseolinks.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",52,24,6,"lebanesearabicinstitute","2025-09-30","2026-01-01"
74,"","https://writingdeluxe.com/when-%D8%A8%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-k.html","https://www.lebanesearabicinstitute.com/wp-content/uploads/2016/12/Merry-Christmas.jpg",52,20,8,"merry christmas and happy new year in arabic lebanese arabic institute","2023-05-04","2023-05-04"
75,"","https://www.almrsal.com/post/1008999","https://www.lebanesearabicinstitute.com/hamza/",51,41,10,"writing and pronouncing the hamza ء a guide for the perplexed","2021-07-31","2025-10-10"
76,"
	lebanesearabicinstitute.com competitors - Top similar sites like 20 lebanesearabicinstitute.com and alternatives
","https://www.siteprice.org/competitors/lebanesearabicinstitute.com","https://www.lebanesearabicinstitute.com/",51,34,1,"","2025-11-13","2026-02-15"
77,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – BILAL ARTICLES","https://bilalarticles.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",51,31,5,"lebanesearabicinstitute","2025-10-13","2026-01-13"
78,"Reportáž z noci, kdy byl zabit Hasan Nasralláh: Bude z Libanonu druhá Gaza? | Deník Alarm","https://denikalarm.cz/2024/10/reportaz-z-noci-kdy-byl-zabit-hasan-nasrallah-bude-z-libanonu-druha-gaza/","https://www.lebanesearabicinstitute.com/areas-beirut/",51,26,1,"půl milionu","2024-10-06","2025-12-22"
79,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – HOST SEO LINKS","https://hostseolinks.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",50,24,5,"lebanesearabicinstitute","2025-09-29","2026-01-03"
80,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – GLOBAL SEO  DIRECTORY","https://globalseodirectory.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",50,24,5,"lebanesearabicinstitute","2025-09-30","2026-01-05"
81,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – WAY SEO DIRECTORY","https://wayseodirectory.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",49,47,5,"lebanesearabicinstitute","2025-10-01","2026-01-02"
82,"Hazmieh - Encyclopédie Wikimonde","https://wikimonde.com/article/Hazmieh","https://www.lebanesearabicinstitute.com/areas-beirut/",49,29,7,"areas of beirut","2026-02-08","2026-02-08"
83,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – 99 RANKS","https://99ranks.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",49,24,12,"lebanesearabicinstitute","2025-09-30","2026-01-01"
84,"How Blockchain-Based Payment Systems Impact E-Commerce Marketing Strategies – A2Z SEO ARTICLES","https://a2zseoarticles.com/how-blockchain-based-payment-systems-impact-e-commerce-marketing-strategies/","https://lebanesearabicinstitute.com/",49,24,8,"lebanesearabicinstitute","2025-10-06","2026-01-12"
85,"Hamza | Search","https://www.wopular.com/newsracks/hamza","https://www.lebanesearabicinstitute.com/hamza/",48,28,35,"writing and pronouncing the hamza ء a guide for the perplexedlearn when to write the hamza on the line ء when to write it on one of its three seats ئ ؤ أ when not to write it and when not to pronounce it","2024-12-28","2024-12-28"
86,"Happy new Year 2023! - Off-Topic - ShiaChat.com","https://www.shiachat.com/forum/topic/235081102-happy-new-year-2023/","https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/",47,29,7,"https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/","2023-01-08","2023-01-08"
87,"","https://iiab.me/kiwix/content/wikihow_en_maxi_2023-03/Say-Thank-You-in-Arabic","https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/",47,27,36,"https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/","2024-08-10","2025-02-18"
88,"","https://www.schoolandcollegelistings.com/LB/Beirut/1740289952896885/Lebanese-Arabic-Institute","https://www.lebanesearabicinstitute.com/intensive-summer-arabic-2019/",46,31,1,"https://www.lebanesearabicinstitute.com/intensive-summer-lebanese-arabic-2018/","2019-06-15","2025-12-22"
89,"How to Greet in Arabic: 12 Steps (with Pictures) - wikiHow","https://wilearncap.asuscomm.com/kiwix/wikihow_en_maxi_2022-01/Greet-in-Arabic","https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/",46,29,19,"https://www.lebanesearabicinstitute.com/hello-in-lebanese-arabic/","2024-05-18","2024-05-18"
90,"arabic alphabet - Bing","https://www.windowssearch-exp.com/search?q=arabic+alphabet&FORM=QSRE4","https://www.lebanesearabicinstitute.com/arabic-alphabet/",45,29,null,"the arabic alphabet a guide to the phonology and","2020-04-19","2021-07-13"
91,"","https://dreamcheeky.com/arabic-letter-names/","https://www.lebanesearabicinstitute.com/arabic-alphabet/",45,26,5,"🔗","2022-08-21","2024-03-05"
92,"","https://vymaps.com/LB/Lebanese-Arabic-Institute-40848/","https://www.lebanesearabicinstitute.com/",44,33,1,"www.lebanesearabicinstitute.com","2020-07-09","2023-07-31"
93,"Seeking replacement code suggestions by Lazeez Jiddan (Webmaster) | Storiesonline Forum","https://storiesonline.net/d/s2/t8581/seeking-replacement-code","https://www.lebanesearabicinstitute.com/studying-arabic/",43,28,5,"studying arabic","2021-08-27","2026-03-08"
94,"Miként ünneplik a karácsonyt Ázsiában?","https://novekedes.hu/global/mikent-unneplik-a-karacsonyt-azsiaban","https://www.lebanesearabicinstitute.com/merry-christmas-happy-new-year/",42,30,4,"a „karácsony” arabul","2024-12-27","2025-12-27"
95,"List of national anthems - Wikipediam.org","https://en.wikipediam.org/wiki/List_of_national_anthems","https://www.lebanesearabicinstitute.com/lebanese-national-anthem/",42,26,47,"lebanese national anthem lebanese arabic institute","2020-07-06","2022-08-14"
96,"","https://www.progresspond.com/2018/04/30/us-marines-dont-intervene-in-the-levant/","https://www.lebanesearabicinstitute.com/areas-beirut/",42,26,12,"basta","2025-10-03","2025-10-07"
97,"The Complete Guide to Using AI in the Real Estate Industry in Lebanon in 2025","https://www.nucamp.co/blog/coding-bootcamp-lebanon-lbn-real-estate-the-complete-guide-to-using-ai-in-the-real-estate-industry-in-lebanon-in-2025","https://www.lebanesearabicinstitute.com/areas-beirut/",41,27,11,"beirut neighborhood quarters and sectors map","2025-10-18","2026-01-19"
98,"WriteReader as a Placement and Diagnostic Tools for Arabic ORF - WriteReader","https://www.writereader.com/blog/write-reader-as-a-placement-and-diagnostic-tools-for-arabic-orf/","https://www.lebanesearabicinstitute.com/arabic-alphabet/",41,27,1,"the arabic alphabet a guide to the phonology and orthography of msa and lebanese arabic","2021-07-23","2025-12-29"
99,"Typewriter - WikiMili, The Best Wikipedia Reader","https://wikimili.com/en/Typewriter","https://www.lebanesearabicinstitute.com/arabic-alphabet/",40,33,8,"the arabic alphabet a guide to the phonology and orthography of msa and lebanese arabic","2025-03-17","2025-12-21"
100,"","https://www.au-e.com/search/phonology-alphabet","https://www.lebanesearabicinstitute.com/arabic-alphabet/",39,30,23,"","2019-12-18","2019-12-18"
101,"A Descriptive Analysis of Non-obligatory Shifts in Three Disney Animated Films Dubbed into Modern Standard Arabic – AWEJ","https://awej.org/a-descriptive-analysis-of-non-obligatory-shifts-in-three-disney-animated-films-dubbed-into-modern-standard-arabic/","https://www.lebanesearabicinstitute.com/arabic-alphabet/",39,29,2,"https://www.lebanesearabicinstitute.com/arabic-alphabet/","2022-01-23","2022-07-25"
102,"","https://www.linkddl.com/link/arabic-symbol","https://www.lebanesearabicinstitute.com/arabic-alphabet/",39,29,47,"","2022-03-14","2022-03-14"
103,"","https://www.comodynes.com/arap-alphabet-k.html","https://www.lebanesearabicinstitute.com/wp-content/uploads/2017/02/Alphabet-300x169.jpg",39,21,6,"the arabic alphabet a guide to the phonology and orthography of msa and lebanese arabic lebanese arabic institute","2023-09-18","2023-09-18"
104,"","https://www.keyworddensitychecker.com/search/urdu-alphabet-hamza","https://www.lebanesearabicinstitute.com/hamza/",38,29,null,"","2020-04-25","2020-04-25"
105,"","https://www.directorysiteslist.com/search/arabic-letters","https://www.lebanesearabicinstitute.com/arabic-alphabet/",38,28,53,"","2020-08-12","2022-12-15"
106,"","https://www.keyfora.com/search/arabic-alphabet","https://www.lebanesearabicinstitute.com/arabic-alphabet/",37,29,38,"","2019-05-14","2023-01-29"
107,"","https://www.cordylink.com/search/beirut-map","https://www.lebanesearabicinstitute.com/areas-beirut/",37,28,null,"","2022-09-08","2022-09-08"
108,"","https://www.linkmio.com/sought/arabic-connecting-forms","https://www.lebanesearabicinstitute.com/arabic-alphabet/",37,28,20,"","2023-02-04","2023-02-04"
109,"","https://www.keywordsking.com/YWxlcHBvIDE5MTU/","https://www.lebanesearabicinstitute.com/wp-content/uploads/2016/08/Oud-Player-Aleppo-1915-1.jpg",37,26,48,"","2019-10-16","2019-10-16"
110,"","https://dreipage.de/List_of_national_anthems","https://www.lebanesearabicinstitute.com/lebanese-national-anthem/",37,25,20,"libanesische nationalhymne libanesisches arabisches institut","2022-12-11","2023-06-20"
111,"","https://www.websiteperu.com/search/arabic-thank-you","https://www.lebanesearabicinstitute.com/thank-you-welcome-lebanese-arabic/",36,31,6,"","2020-06-28","2020-06-28"
112,"","https://www.freedirectorysite.com/search/standard-arabic-alphabet","https://www.lebanesearabicinstitute.com/arabic-alphabet/",36,28,37,"","2022-01-24","2022-01-24"
113,"","https://www.sitesinformation.com/search/tafadal","https://www.lebanesearabicinstitute.com/tfaddal/",36,28,15,"","2022-09-16","2022-09-16"
